Designation,Email,Linkedin Connect,Met / Connected,Name,Organisation,Phone,Sl No,Type
Partner,,,,AA_AMG,Jaavi,,1,
,,1554076800000,,AA_Archana,,,2,
Head Hunter,,,,AA_Josheita Mohan,,,3,
Self,,,,AA_KC,Self,,4,
Punter,,1554076800000,,AA_Shiva Kumar,,,5,
Senior Principal ,,,,AA_VinoD Giri,NIIF,,6,
Lawyer,,,,AAA_Chandra Reddy,Australia,,7,
,,,,AAA_Dad,GMR,,8,
,,,Yes,AAA_GammaKryptonite,,,9,
,,,Yes,AAA_GammaMetaRho,,,10,
"Associate, Corporate Finance Division",,1290124800000,,"Aakash Bhatia, CFA",BMO Financial Group,,11,
